Id,Source,Target,Weight
958,252,2,1
959,2,252,1
960,70,2,7
961,2,70,10
962,253,2,2
963,2,253,1
964,254,2,1
965,564,2,1
966,2,564,1
967,71,2,9
968,2,71,6
969,113,2,1
970,114,2,1
971,2,114,3
972,115,2,6
973,2,115,6
974,255,2,2
975,2,255,1
976,256,2,4
977,2,256,3
978,116,2,10
979,2,116,4
980,9,2,22
981,2,9,22
982,257,2,10
983,2,257,10
984,258,2,8
985,2,258,5
986,39,2,2
987,2,39,2
988,120,2,34
989,2,120,34
990,40,2,21
991,2,40,21
992,12,2,7
993,2,12,7
994,121,2,2
995,122,2,5
996,2,122,5
997,13,2,11
998,2,13,11
999,259,2,42
1000,2,259,42
1001,16,2,37
1002,2,16,38
1003,124,2,11
1004,2,124,8
1005,77,2,2
1006,2,77,2
1007,125,2,2
1008,2,125,5
1009,20,2,64
1010,2,20,64
1011,21,2,5
1012,2,21,5
1013,22,2,7
1014,2,22,7
1015,24,2,23
1016,2,24,23
1017,260,2,8
1018,2,260,8
1019,127,2,3
1020,2,127,3
1021,128,2,14
1022,2,128,14
1023,43,2,4
1024,2,43,4
1025,129,2,7
1026,2,129,7
1027,132,2,11
1028,2,132,11
1029,261,2,1
1030,2,261,4
1031,133,2,2
1032,2,133,2
1033,262,2,4
1034,2,262,4
1035,263,2,5
1036,2,263,6
1037,264,2,18
1038,2,264,15
1039,265,2,2
1040,2,265,2
1041,135,2,6
1042,2,135,5
1043,223,2,4
1044,2,223,3
1045,266,2,3
1046,2,266,3
1047,267,2,4
1048,2,267,6
1049,26,2,39
1050,2,26,39
1051,137,2,28
1052,2,137,27
1053,139,2,5
1054,2,139,5
1055,44,2,42
1056,2,44,42
1057,140,2,11
1058,2,140,11
1059,141,2,5
1060,2,141,5
1061,142,2,62
1062,2,142,62
1063,268,2,2
1064,2,268,2
1065,67,2,25
1066,2,67,24
1067,45,2,20
1068,2,45,18
1069,269,2,3
1070,2,269,3
1071,143,2,20
1072,2,143,20
1073,144,2,2
1074,2,144,2
1075,48,2,8
1076,2,48,8
1077,49,2,16
1078,2,49,16
1079,55,2,4
1080,2,55,4
1081,270,2,9
1082,2,270,3
1083,271,2,1
1084,272,2,1
1085,273,2,8
1086,2,273,8
1087,27,2,5
1088,2,27,5
1089,274,2,4
1090,28,2,15
1091,2,28,15
1092,275,2,3
1093,148,2,4
1094,224,2,28
1095,2,224,28
1096,276,2,3
1097,2,276,3
1098,149,2,72
1099,2,149,72
1100,150,2,15
1101,2,150,15
1102,78,2,2
1103,2,78,2
1104,152,2,9
1105,2,152,9
1106,153,2,4
1107,2,153,5
1108,277,2,4
1109,2,277,4
1110,278,2,1
1111,279,2,5
1112,2,279,2
1113,154,2,85
1114,2,154,85
1115,155,2,3
1116,2,155,1
1117,156,2,41
1118,2,156,41
1119,68,2,21
1120,2,68,22
1121,280,2,3
1122,2,280,1
1123,281,2,3
1124,2,281,3
1125,282,2,8
1126,2,282,8
1127,157,2,15
1128,2,157,16
1129,283,2,17
1130,2,283,17
1131,159,2,21
1132,2,159,21
1133,593,2,5
1134,160,2,20
1135,2,160,20
1136,284,2,26
1137,2,284,26
1138,162,2,61
1139,2,162,61
1140,69,2,44
1141,2,69,44
1142,165,2,5
1143,2,165,4
1144,166,2,6
1145,2,166,6
1146,285,2,5
1147,2,285,5
1148,167,2,1
1149,2,167,1
1150,168,2,6
1151,2,168,6
1152,170,2,12
1153,2,170,12
1154,286,2,1
1155,2,286,2
1156,29,2,32
1157,2,29,32
1158,30,2,5
1159,2,30,5
1160,60,2,11
1161,2,60,10
1162,212,2,8
1163,2,212,8
1164,61,2,16
1165,2,61,16
1166,213,2,3
1167,2,213,4
1168,62,2,6
1169,2,62,3
1170,175,2,20
1171,2,175,20
1172,176,2,20
1173,2,176,20
1174,287,2,12
1175,2,287,12
1176,177,2,15
1177,2,177,15
1178,31,2,3
1179,2,31,3
1180,72,2,67
1181,2,72,67
1182,179,2,22
1183,2,179,22
1184,288,2,13
1185,2,288,13
1186,289,2,6
1187,2,289,5
1188,180,2,8
1189,2,180,13
1190,290,2,6
1191,2,290,4
1192,291,2,3
1193,182,2,2
1194,2,182,2
1195,183,2,16
1196,2,183,28
1197,184,2,8
1198,2,184,8
1199,185,2,15
1200,2,185,15
1201,79,216,2
1202,216,79,2
1203,292,216,1
1204,293,216,2
1205,216,293,1
1206,34,216,4
1207,216,34,4
1208,294,216,3
1209,216,294,3
1210,3,216,12
1211,216,3,12
1212,88,216,3
1213,216,88,3
1214,295,216,3
1215,216,295,3
1216,237,216,5
1217,216,237,5
1218,96,216,10
1219,216,96,10
1220,97,216,10
1221,216,97,10
1222,35,216,3
1223,245,216,2
1224,216,245,2
1225,246,216,2
1226,216,246,2
1227,296,216,3
1228,216,296,3
1229,297,216,3
1230,216,297,3
1231,247,216,6
1232,216,247,6
1233,298,216,8
1234,216,298,8
1235,248,216,5
1236,216,248,5
1237,299,216,3
1238,216,299,3
1239,103,216,11
1240,216,103,11
1241,300,216,4
1242,216,300,4
1243,105,216,3
1244,216,105,3
1245,301,216,6
1246,216,301,6
1247,302,216,3
1248,216,302,3
1249,303,216,3
1250,216,303,3
1251,304,216,2
1252,216,304,2
1253,106,216,8
1254,216,106,8
1255,8,216,8
1256,216,8,8
1257,111,216,2
1258,216,111,2
1259,75,216,2
1260,216,75,2
1261,71,216,4
1262,216,71,2
1263,115,216,7
1264,216,115,7
1265,9,216,23
1266,216,9,23
1267,120,216,5
1268,216,120,5
1269,305,216,2
1270,216,305,2
1271,10,216,4
1272,216,10,4
1273,11,216,5
1274,216,11,5
1275,12,216,8
1276,216,12,8
1277,121,216,4
1278,216,121,4
1279,306,216,3
1280,216,306,3
1281,307,216,3
1282,216,307,3
1283,123,216,2
1284,216,123,2
1285,15,216,16
1286,216,15,16
1287,124,216,4
1288,216,124,4
1289,17,216,2
1290,216,17,2
