Id,City,Country,Label,Name,latitude,longitude
290,Cincinnati,UNITED STATES,CVG,Cincinnati Northern Kentucky International Airport,39.048828,-84.667801
291,Columbus,UNITED STATES,LCK,Columbus Rickenbacker International Airport,39.813782,-82.927803
292,Constantine,ALGERIA,CZL,Constantine Mohamed Boudiaf International Airport,36.276020,6.620386
293,Oran,ALGERIA,ORN,Oran Es Senia Airport,35.623852,-0.621180
294,Plovdiv,BULGARIA,PDV,Plovdiv Airport,42.067799,24.850830
295,Pula,CROATIA,PUY,Pula Airport,44.893532,13.922190
296,Bergerac,FRANCE,EGC,Bergerac Dordogne Perigord Airport,44.824429,0.520525
297,Biarritz,FRANCE,BIQ,Biarritz Pays Basque Airport,43.468330,-1.531110
298,Carcassonne,FRANCE,CCF,Carcassonne Airport,43.215809,2.308544
299,La Rochelle,FRANCE,LRH,La Rochelle Ile de Re Airport,46.179211,-1.195230
300,Montpellier,FRANCE,MPL,Montpellier Mediterranee Airport,43.583328,3.961389
301,Nimes,FRANCE,FNI,Nimes Ales Camargue Cevennes Airport,43.757500,4.416389
302,Perpignan,FRANCE,PGF,Perpignan Rivesaltes Airport,42.740829,2.869722
303,Rodez,FRANCE,RDZ,Rodez Marcillac Airport,44.407501,2.483333
304,Toulon,FRANCE,TLN,Toulon-Hyeres Airport,43.097340,6.146031
305,Alghero,ITALY,AHO,Alghero Fertilia Airport,40.632130,8.290772
306,Cagliari,ITALY,CAG,Cagliari Elmas Airport,39.251461,9.054283
307,Comiso,ITALY,CIY,Comiso Airport,36.990002,14.600000
308,Pescara,ITALY,PSR,Pescara Abruzzo International Airport,42.431648,14.181060
309,Rome,ITALY,CIA,Rome Ciampino Airport,41.799358,12.594930
310,Essaouira,MOROCCO,ESU,Essaouira Airport,31.397499,-9.681667
311,Oujda,MOROCCO,OUD,Oujda Angads Airport,34.787151,-1.923980
312,Warsaw,POLAND,WMI,Warsaw Modlin Airport,52.451111,20.651667
313,Wroclaw,POLAND,WRO,Wroclaw Copernicus Airport,51.102680,16.885830
314,Cluj-Napoca,ROMANIA,CLJ,Cluj-Napoca International Airport,46.785091,23.686110
315,Timisoara,ROMANIA,TSR,Timisoara Traian Vuia International Airport,45.809860,21.337860
316,Bratislava,SLOVAKIA,BTS,Bratislava M. R. Stefanik Airport,48.170158,17.212660
317,Santander,SPAIN,SDR,Santander Airport,43.427059,-3.820000
318,Stockholm,SWEDEN,NYO,Stockholm Skavsta Airport,58.788631,16.912180
319,Glasgow,UNITED KINGDOM,GLA,Glasgow International Airport,55.871941,-4.433050
320,Sao Paulo,BRAZIL,GRU,Sao Paulo Guarulhos International Airport,-23.431999,-46.469501
321,Bangui,CENTRAL AFRICAN REPUBLIC,BGF,Bangui Airport,4.398475,18.518780
322,Guangzhou,CHINA,CAN,Guangzhou Baiyun International Airport,23.392429,113.298698
323,Pointe Noire,CONGO,PNR,Pointe Noire Airport,-4.816020,11.886590
324,Libreville,GABON,LBV,Libreville International Airport,0.458600,9.412283
325,Mexico City,MEXICO,MEX,Mexico City International Airport,19.436300,-99.071999
326,Niamey,NIGER,NIM,Niamey Diori Hamani International Airport,13.481540,2.183614
327,Lagos,NIGERIA,LOS,Lagos Murtala Mohammed Airport,6.577369,3.321156
328,Port Harcourt,NIGERIA,PHC,Port Harcourt International Airport,5.015494,6.949594
329,Khartoum,SUDAN,KRT,Khartoum International Airport,15.589490,32.553162
330,Malmo,SWEDEN,MMX,Malmo Airport,55.530190,13.371630
331,Kayseri,TURKEY,ASR,Kayseri Erkilet International Airport,38.770378,35.495419
332,Memphis,UNITED STATES,MEM,Memphis International Airport,35.042412,-89.976601
333,Lusaka,ZAMBIA,LUN,Lusaka Kenneth Kaunda International Airport,-15.330800,28.452620
334,Tripoli,LIBYA,MJI,Tripoli Mitiga International Airport,32.889999,13.270000
335,Eskisehir,TURKEY,AOE,Eskisehir Airport,39.811401,30.527000
336,Dortmund,GERMANY,DTM,Dortmund Airport,51.518311,7.612242
337,Friedrichshafen,GERMANY,FDH,Friedrichshafen Airport,47.671310,9.511486
338,Memmingen,GERMANY,FMM,Memmingen Airport,47.988609,10.239444
339,Eindhoven,NETHERLANDS,EIN,Eindhoven Airport,51.450130,5.374528
