,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
382,DXB,CPH,-1842.0,True,-433.0,True,EK151
383,CPH,ORD,-1002.0,True,1945.0,False,SK943
384,CPH,EWR,-1048.0,True,3235.0,False,SK909
385,EWR,CPH,-36.0,True,1900.0,False,SK910
386,CPH,SFO,-526.0,True,1131.0,False,SK935
387,TLL,CPH,136.0,False,922.0,False,BT195
388,CPH,TLL,33.0,False,798.0,False,BT196
389,TLL,HEL,-433.0,True,401.0,False,AY1020
390,HEL,TLL,-706.0,True,114.0,False,AY1023
391,TLL,RIX,-820.0,True,-144.0,True,BT362
392,TLL,WAW,-359.0,True,1043.0,False,LO786
393,WAW,TLL,-1110.0,True,120.0,False,LO785
394,HEL,MSQ,-849.0,True,235.0,False,B2858
395,MSQ,HEL,64.0,False,657.0,False,B2857
396,HEL,PVG,-3097.0,True,-3022.0,True,AY87
397,PVG,HEL,-6207.0,True,-5525.0,True,AY88
398,HEL,CPH,-1317.0,True,-1077.0,True,AY955
399,CPH,HEL,-1561.0,True,478.0,False,AY956
400,HEL,TLL,-706.0,True,114.0,False,AY1023
401,TLL,HEL,-433.0,True,401.0,False,AY1020
402,HEL,KUO,-378.0,True,303.0,False,AY369
403,KUO,HEL,517.0,False,1018.0,False,AY370
404,HEL,OUL,-806.0,True,-872.0,True,AY435
405,HEL,OUL,-81.0,True,1033.0,False,AY437
406,HEL,OUL,-931.0,True,-1226.0,True,AY441
407,HEL,OUL,-614.0,True,326.0,False,AY445
408,HEL,OUL,177.0,False,513.0,False,AY449
409,OUL,HEL,-764.0,True,-1541.0,True,AY436
410,OUL,HEL,878.0,False,1461.0,False,AY438
411,OUL,HEL,-1050.0,True,-1613.0,True,AY442
412,OUL,HEL,474.0,False,1194.0,False,AY446
413,OUL,HEL,-212.0,True,2.0,False,AY450
414,HEL,RVN,-415.0,True,880.0,False,AY531
415,HEL,RVN,-751.0,True,506.0,False,AY533
416,HEL,RVN,-747.0,True,403.0,False,AY535
417,RVN,HEL,471.0,False,725.0,False,AY532
418,RVN,HEL,-66.0,True,556.0,False,AY534
419,RVN,HEL,-312.0,True,531.0,False,AY536
420,HEL,CDG,-891.0,True,-35.0,True,AY1577
421,CDG,HEL,-982.0,True,1306.0,False,AY1578
422,HEL,DUS,-826.0,True,150.0,False,AY1395
423,DUS,HEL,-143.0,True,1485.0,False,AY1396
424,FRA,HEL,-532.0,True,191.0,False,LH854
425,HEL,MUC,-372.0,True,748.0,False,AY1405
426,MUC,HEL,-734.0,True,864.0,False,AY1406
427,HEL,BUD,-1382.0,True,97.0,False,AY1255
428,BUD,HEL,-268.0,True,447.0,False,AY1256
429,HEL,NRT,-2390.0,True,-320.0,True,AY73
430,HEL,AMS,-784.0,True,276.0,False,AY1305
431,HEL,AMS,-647.0,True,949.0,False,KL1164
432,AMS,HEL,-222.0,True,1513.0,False,AY1306
433,AMS,HEL,-1449.0,True,-55.0,True,KL1171
434,HEL,OSL,-854.0,True,451.0,False,AY913
435,OSL,HEL,-125.0,True,2631.0,False,AY914
436,HEL,ICN,-2673.0,True,-275.0,True,AY41
437,ICN,HEL,-514.0,True,902.0,False,AY42
438,HEL,AGP,-859.0,True,-567.0,True,AY1671
439,AGP,HEL,-1124.0,True,306.0,False,AY1672
440,HEL,GOT,250.0,False,1694.0,False,AY863
441,GOT,HEL,-165.0,True,2216.0,False,AY864
442,HEL,ARN,-1623.0,True,-539.0,True,AY801
443,HEL,ARN,-784.0,True,296.0,False,AY807
444,HEL,ARN,-1092.0,True,-120.0,True,AY813
445,HEL,ARN,-2030.0,True,-1200.0,True,SK719
446,ARN,HEL,-1286.0,True,-40.0,True,AY802
447,ARN,HEL,-1278.0,True,-142.0,True,AY808
448,ARN,HEL,-2075.0,True,-857.0,True,AY814
